# x_m,y_m,w_tr_right_m,w_tr_left_m
-60.8319,45.8143,1.0530,1.0530
-60.7669,45.7492,1.0396,1.0396
-60.7018,45.7492,1.0396,1.0396
-60.6368,45.6842,1.0530,1.0530
-60.5717,45.6191,1.0530,1.0530
-60.5067,45.5541,1.0396,1.0396
-60.4416,45.5541,1.0328,1.0328
-60.3766,45.4890,1.0396,1.0396
-60.3115,45.4240,1.0530,1.0530
-60.2465,45.3589,1.0530,1.0530
-60.1814,45.2939,1.0396,1.0396
-60.1164,45.2939,1.0396,1.0396
-60.0513,45.2288,1.0530,1.0530
-59.9863,45.1638,1.0530,1.0530
-59.9212,45.0987,1.0396,1.0396
-59.8562,45.0987,1.0328,1.0328
-59.7911,45.0337,1.0396,1.0396
-59.7261,44.9686,1.0530,1.0530
-59.6610,44.9036,1.0530,1.0530
-59.5960,44.8385,1.0396,1.0396
-59.5309,44.8385,1.0328,1.0328
-59.4659,44.7735,1.0396,1.0396
-59.4008,44.7084,1.0530,1.0530
-59.3358,44.6434,1.0530,1.0530
-59.2707,44.5783,1.0396,1.0396
-59.2057,44.5783,1.0328,1.0328
-59.1406,44.5133,1.0328,1.0328
-59.0756,44.4482,1.0396,1.0396
-59.0105,44.3832,1.0530,1.0530
-58.9455,44.3181,1.0730,1.0730
-58.8804,44.2531,1.0779,1.0779
-58.8154,44.1880,1.0779,1.0779
-58.7503,44.1230,1.0730,1.0730
-58.6853,44.0579,1.0530,1.0530
-58.6202,43.9929,1.0396,1.0396
-58.5552,43.9929,1.0328,1.0328
-58.4901,43.9278,1.0328,1.0328
-58.4251,43.8628,1.0328,1.0328
-58.3600,43.7977,1.0328,1.0328
-58.2950,43.7327,1.0328,1.0328
-58.2299,43.6676,1.0328,1.0328
-58.1649,43.6026,1.0328,1.0328
-58.0998,43.5375,1.0328,1.0328
-58.0998,43.4725,1.0396,1.0396
-58.0348,43.4074,1.0530,1.0530
-57.9697,43.3424,1.0730,1.0730
-57.9047,43.2773,1.0779,1.0779
-57.8396,43.2123,1.0779,1.0779
-57.7746,43.1472,1.0730,1.0730
-57.7095,43.0822,1.0530,1.0530
-57.6445,43.0171,1.0396,1.0396
-57.5794,42.9521,1.0328,1.0328
-57.5144,42.8870,1.0328,1.0328
-57.5144,42.8220,1.0396,1.0396
-57.4493,42.7569,1.0530,1.0530
-57.3843,42.6919,1.0730,1.0730
-57.3192,42.6268,1.0530,1.0530
-57.2542,42.5618,1.0396,1.0396
-57.1891,42.4967,1.0328,1.0328
-57.1891,42.4317,1.0396,1.0396
-57.1241,42.3666,1.0530,1.0530
-57.0590,42.3016,1.0730,1.0730
-56.9940,42.2365,1.0530,1.0530
-56.9289,42.1715,1.0396,1.0396
-56.8639,42.1064,1.0328,1.0328
-56.7988,42.0414,1.0328,1.0328
-56.7988,41.9763,1.0396,1.0396
-56.7338,41.9113,1.0530,1.0530
-56.6687,41.8462,1.0530,1.0530
-56.6037,41.7812,1.0396,1.0396
-56.5386,41.7161,1.0328,1.0328
-56.5386,41.6511,1.0396,1.0396
-56.4736,41.5860,1.0530,1.0530
-56.4085,41.5210,1.0730,1.0730
-56.3435,41.4559,1.0530,1.0530
-56.2784,41.3909,1.0396,1.0396
-56.2134,41.3258,1.0328,1.0328
-56.2134,41.2608,1.0396,1.0396
-56.1483,41.1957,1.0530,1.0530
-56.0833,41.1307,1.0530,1.0530
-56.0182,41.0656,1.0396,1.0396
-56.0182,41.0006,1.0396,1.0396
-55.9532,40.9355,1.0530,1.0530
-55.8881,40.8705,1.0530,1.0530
-55.8231,40.8054,1.0396,1.0396
-55.8231,40.7404,1.0396,1.0396
-55.7580,40.6753,1.0530,1.0530
-55.6930,40.6103,1.0530,1.0530
-55.6930,40.5452,1.0396,1.0396
-55.6279,40.4802,1.0530,1.0530
-55.5629,40.4151,1.0530,1.0530
-55.5629,40.3501,1.0396,1.0396
-55.4978,40.2850,1.0530,1.0530
-55.4328,40.2200,1.0530,1.0530
-55.4328,40.1549,1.0396,1.0396
-55.3677,40.0899,1.0530,1.0530
-55.3027,40.0248,1.0413,1.0413
-55.3027,39.9598,1.0413,1.0413
-55.2376,39.8947,1.0530,1.0530
-55.2376,39.8297,1.0396,1.0396
-55.1726,39.7646,1.0530,1.0530
-55.1075,39.6996,1.0413,1.0413
-55.1075,39.6345,1.0413,1.0413
-55.0425,39.5695,1.0530,1.0530
-55.0425,39.5044,1.0413,1.0413
-54.9774,39.4394,1.0713,1.0713
-54.9124,39.3743,1.0413,1.0413
-54.9124,39.3093,1.0530,1.0530
-54.8473,39.2442,1.0413,1.0413
-54.8473,39.1792,1.0413,1.0413
-54.7823,39.1141,1.0530,1.0530
-54.7823,39.0491,1.0413,1.0413
-54.7172,38.9840,1.0713,1.0713
-54.6522,38.9190,1.0413,1.0413
-54.6522,38.8539,1.0530,1.0530
-54.5871,38.7889,1.0413,1.0413
-54.5871,38.7238,1.0413,1.0413
-54.5221,38.6588,1.0530,1.0530
-54.5221,38.5937,1.0413,1.0413
-54.4570,38.5287,1.0713,1.0713
-54.3920,38.4636,1.0413,1.0413
-54.3920,38.3986,1.0530,1.0530
-54.3269,38.3335,1.0413,1.0413
-54.3269,38.2685,1.0413,1.0413
-54.2619,38.2034,1.0413,1.0413
-54.2619,38.1384,1.0413,1.0413
-54.1968,38.0733,1.0530,1.0530
-54.1968,38.0083,1.0413,1.0413
-54.1318,37.9432,1.0713,1.0713
-54.0667,37.8782,1.0413,1.0413
-54.0667,37.8131,1.0530,1.0530
-54.0017,37.7481,1.0413,1.0413
-54.0017,37.6830,1.0413,1.0413
-53.9366,37.6180,1.0530,1.0530
-53.9366,37.5529,1.0413,1.0413
-53.8716,37.4879,1.0713,1.0713
-53.8065,37.4228,1.0413,1.0413
-53.8065,37.3578,1.0530,1.0530
-53.7415,37.2927,1.0413,1.0413
-53.7415,37.2277,1.0413,1.0413
-53.6764,37.1626,1.0413,1.0413
-53.6764,37.0976,1.0413,1.0413
-53.6114,37.0325,1.0530,1.0530
-53.6114,36.9675,1.0413,1.0413
-53.5463,36.9024,1.0713,1.0713
-53.4813,36.8374,1.0413,1.0413
-53.4813,36.7723,1.0530,1.0530
-53.4162,36.7073,1.0413,1.0413
-53.4162,36.6422,1.0413,1.0413
-53.3512,36.5772,1.0530,1.0530
-53.3512,36.5121,1.0413,1.0413
-53.2861,36.4471,1.0713,1.0713
-53.2211,36.3820,1.0413,1.0413
-53.2211,36.3170,1.0530,1.0530
-53.1560,36.2519,1.0413,1.0413
-53.1560,36.1869,1.0413,1.0413
-53.0910,36.1218,1.0413,1.0413
-53.0910,36.0568,1.0413,1.0413
-53.0259,35.9917,1.0530,1.0530
-53.0259,35.9267,1.0413,1.0413
-52.9609,35.8616,1.0713,1.0713
-52.8958,35.7966,1.0413,1.0413
-52.8958,35.7315,1.0530,1.0530
-52.8308,35.6665,1.0413,1.0413
-52.8308,35.6014,1.0413,1.0413
-52.7657,35.5364,1.0413,1.0413
-52.7657,35.4713,1.0413,1.0413
-52.7007,35.4063,1.0530,1.0530
-52.7007,35.3412,1.0413,1.0413
-52.6356,35.2762,1.0713,1.0713
-52.5706,35.2111,1.0413,1.0413
-52.5706,35.1461,1.0530,1.0530
-52.5055,35.0810,1.0413,1.0413
-52.5055,35.0160,1.0413,1.0413
-52.4405,34.9509,1.0413,1.0413
-52.4405,34.8859,1.0413,1.0413
-52.3754,34.8208,1.0530,1.0530
-52.3754,34.7558,1.0413,1.0413
-52.3104,34.6907,1.0713,1.0713
-52.2453,34.6257,1.0413,1.0413
-52.2453,34.5606,1.0530,1.0530
-52.1803,34.4956,1.0413,1.0413
-52.1803,34.4305,1.0413,1.0413
-52.1152,34.3655,1.0530,1.0530
-52.1152,34.3004,1.0413,1.0413
-52.0502,34.2354,1.0713,1.0713
-51.9851,34.1703,1.0413,1.0413
-51.9851,34.1053,1.0530,1.0530
-51.9201,34.0402,1.0413,1.0413
-51.9201,33.9752,1.0413,1.0413
-51.8550,33.9101,1.0413,1.0413
-51.8550,33.8451,1.0413,1.0413
-51.7900,33.7800,1.0530,1.0530
-51.7900,33.7150,1.0413,1.0413
-51.7249,33.6499,1.0713,1.0713
-51.6599,33.5849,1.0413,1.0413
-51.6599,33.5198,1.0530,1.0530
-51.5948,33.4548,1.0413,1.0413
-51.5948,33.3897,1.0413,1.0413
-51.5298,33.3247,1.0413,1.0413
-51.5298,33.2596,1.0413,1.0413
-51.4647,33.1946,1.0530,1.0530
-51.4647,33.1295,1.0413,1.0413
-51.3997,33.0645,1.0713,1.0713
-51.3346,32.9994,1.0413,1.0413
-51.3346,32.9344,1.0530,1.0530
-51.2696,32.8693,1.0413,1.0413
-51.2696,32.8043,1.0413,1.0413
