# x_m,y_m,w_tr_right_m,w_tr_left_m,curvature
-0.604,0.4222,1.0662,1.0662,0.46032656803302585
-0.6684,0.4866,1.0662,1.0662,0.3001628035175173
-0.7329,0.5511,1.0662,1.0662,0.1409650803183513
-0.7973,0.6155,1.0662,1.0662,-0.016802592250233603
-0.8618,0.68,1.0613,1.0613,-0.14477182539642358
-0.9263,0.7445,1.0416,1.0416,-0.10270665198209253
-0.9907,0.7445,1.0662,1.0662,-0.07285025135054811
-1.0552,0.8089,1.0662,1.0662,-0.03047499743651687
-1.1196,0.8734,1.0662,1.0662,0.011955022481607073
-1.1841,0.9378,1.0662,1.0662,0.03651282678181243
-1.2486,1.0023,1.0613,1.0613,0.024809985566768798
-1.313,1.0668,1.0416,1.0416,0.013129069776080495
-1.3775,1.0668,1.0662,1.0662,0.004867649347880014
-1.4419,1.1312,1.0695,1.0695,-0.0067960312136815595
-1.5064,1.1957,1.0662,1.0662,-0.009710613238716557
-1.5709,1.2601,1.0613,1.0613,-0.0041761954501287335
-1.6353,1.3246,1.0416,1.0416,0.0013593810235698423
-1.6998,1.3246,1.0662,1.0662,0.005276523384771975
-1.7642,1.3891,1.0662,1.0662,0.010810524970919517
-1.8287,1.4535,1.0662,1.0662,0.004484547497762785
-1.8932,1.518,1.0662,1.0662,-0.007197225257551371
-1.9576,1.5824,1.0613,1.0613,-0.018864709330469877
-2.0221,1.6469,1.0416,1.0416,-0.03056034514874715
-2.0865,1.6469,1.0662,1.0662,-0.03882654583736202
-2.151,1.7114,1.0662,1.0662,-0.00353338856445409
-2.2155,1.7758,1.0662,1.0662,0.038892114738882454
-2.2799,1.8403,1.0662,1.0662,0.08124608771438414
-2.3444,1.9047,1.0613,1.0613,0.12342415821303804
-2.4088,1.9692,1.0416,1.0416,0.09723687866636771
-2.4733,1.9692,1.0662,1.0662,-0.014425302885756183
-2.5378,2.0337,1.0695,1.0695,-0.17258682781494614
-2.6022,2.0981,1.0662,1.0662,-0.3318448653295695
-2.6667,2.1626,1.0613,1.0613,-0.49227960334896204
-2.7311,2.227,1.0416,1.0416,-0.44963442760875955
-2.7956,2.227,1.0662,1.0662,-0.28810946540373417
-2.8601,2.2915,1.0662,1.0662,-0.06166113282933827
-2.9245,2.356,1.0662,1.0662,0.16384180035321486
-2.989,2.4204,1.0662,1.0662,0.39114556511423887
-3.0534,2.4849,1.0613,1.0613,0.5318228659621579
-3.1179,2.5493,1.0416,1.0416,0.3720753573798058
-3.1824,2.5493,1.0662,1.0662,0.2591430618892489
-3.2468,2.6138,1.0662,1.0662,0.10083045265216134
-3.3113,2.6783,1.0662,1.0662,-0.056702072786189175
-3.3757,2.7427,1.0662,1.0662,-0.1332631085055398
-3.4402,2.8072,1.0613,1.0613,-0.09134899714955041
-3.5047,2.8716,1.0416,1.0416,-0.049259249996014415
-3.5691,2.8716,1.0662,1.0662,-0.019458689559001017
-3.6336,2.9361,1.0662,1.0662,0.022773584176920054
-3.698,3.0006,1.0662,1.0662,0.033342873814844534
-3.7625,3.065,1.0613,1.0613,0.021626153449318706
-3.827,3.1295,1.0416,1.0416,0.009911802521365176
-3.8914,3.1295,1.0613,1.0613,0.0016449872955924193
-3.9559,3.1939,1.0662,1.0662,-0.010055009124163683
-4.0203,3.2584,1.0662,1.0662,-0.00831478026795952
-4.0848,3.3229,1.0662,1.0662,-0.002436322190255218
-4.1493,3.3873,1.0613,1.0613,0.0034383310182446347
-4.2137,3.4518,1.0416,1.0416,0.00931210742766807
-4.2782,3.4518,1.0662,1.0662,0.013467278841915856
-4.3426,3.5162,1.0662,1.0662,0.0020797321216605917
-4.4071,3.5807,1.0662,1.0662,-0.010326779177126884
-4.4716,3.6452,1.0662,1.0662,-0.022739016303495237
-4.536,3.7096,1.0613,1.0613,-0.035144098778075304
-4.6005,3.7741,1.0416,1.0416,-0.02436541916692193
-4.6649,3.7741,1.0662,1.0662,0.006122556191503979
-4.7294,3.8385,1.0662,1.0662,0.049256588675798484
-4.7939,3.903,1.0662,1.0662,0.09232929812886896
-4.8583,3.9675,1.0662,1.0662,0.13515687932576578
-4.9228,4.0319,1.0613,1.0613,0.0578582678799708
-4.9872,4.0964,1.0416,1.0416,-0.10028307115152688
-5.0517,4.0964,1.0662,1.0662,-0.21267681983818404
-5.1162,4.1608,1.0695,1.0695,-0.3727907261431117
-5.1806,4.2253,1.0662,1.0662,-0.5332855499684177
-5.2451,4.2898,1.0613,1.0613,-0.39116368905753546
-5.3095,4.3542,1.0416,1.0416,-0.1639257958341472
-5.374,4.3542,1.0662,1.0662,-0.004223072499642608
-5.4385,4.4187,1.0662,1.0662,0.22182337301193064
-5.5029,4.4831,1.0662,1.0662,0.44964928402966614
-5.5674,4.5476,1.0662,1.0662,0.4911825710477476
-5.6318,4.6121,1.0613,1.0613,0.33114020195853716
-5.6963,4.6765,1.0416,1.0416,0.1720244277443599
-5.7608,4.6765,1.0662,1.0662,0.06028731006209127
-5.8252,4.741,1.0662,1.0662,-0.09723912871619553
-5.8897,4.8054,1.0662,1.0662,-0.12269208377818416
-5.9541,4.8699,1.0662,1.0662,-0.08037866539883555
-6.0186,4.9344,1.0613,1.0613,-0.03785761556610053
-6.0831,4.9988,1.0416,1.0416,0.004701151183217007
-6.1475,4.9988,1.0662,1.0662,0.03477097888031369
-6.212,5.0633,1.0695,1.0695,0.031011050867841377
-6.2764,5.1277,1.0662,1.0662,0.018576458629208713
-6.3409,5.1922,1.0613,1.0613,0.006132921990447236
-6.4054,5.2567,1.0416,1.0416,-0.006306917661801683
-6.4698,5.2567,1.0662,1.0662,-0.014679265087949278
-6.5343,5.3211,1.0662,1.0662,-0.008079824863425672
-6.5987,5.3856,1.0662,1.0662,-0.0014781111938555575
-6.6632,5.45,1.0662,1.0662,0.0051240282885356685
-6.7277,5.5145,1.0613,1.0613,0.011729887572119117
-6.7921,5.579,1.0416,1.0416,0.008771194475772123
-6.8566,5.579,1.0662,1.0662,-0.00025894205574926015
-6.921,5.6434,1.0662,1.0662,-0.013010574408123313
-6.9855,5.7079,1.0662,1.0662,-0.025789454549449666
-7.05,5.7723,1.0662,1.0662,-0.038572198577949975
-7.1144,5.8368,1.0613,1.0613,-0.013635875242050302
-7.1789,5.9013,1.0416,1.0416,0.02966679156124191
-7.2433,5.9013,1.0662,1.0662,0.0602110829656267
-7.3078,5.9657,1.0662,1.0662,0.10333000551922457
